,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
253,Zostawić Coś Po Sobie,Syntetyczna Mafia,Paluch,2011-10-01,206869,39,7vo9Jo7RNswCh5o2wfBQ9Z,0
256,THE HEARTBREAK v2,THE HEARTBREAK v2,Rilès,2021-07-11,210651,46,5xXMHq0eZJSPf9EaZivCoM,0
258,Testarossa,Testarossa,Wiatr,2020-08-11,233000,59,4yP4P2pHqtejjQ1l12J8bA,0
259,Legenda,SIARA,KęKę,2021-04-23,184293,35,01LqoYTPYFNLvUQ11GHRW7,0
262,Barman,Pół życia za mną,Sliwa,2021-05-21,189613,18,76vYozfdujmPMNuFrPO84K,0
266,Chłopaki nie płaczą,Kwiat polskiej młodzieży,Bedoes,2018-11-30,211800,59,4glBRF3uJCf3bTG4hhIhpn,0
267,Don't Let Me Be Misunderstood,Broadway-Blues-Ballads,Nina Simone,1964-11-01,166200,59,7M9pPyt8Gr41THLhbz4NSB,0
270,Kompas,Czarno na białym,Gibbs,2021-09-30,247578,52,0Uz1YXmTAsOAdsiFW8D8gU,0
272,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,81,3gdewACMIVMEWVbyb8O9sY,0
275,Kurtz,Młody Matczak,Mata,2021-10-01,255720,60,4Ca4yzwIFgYJxupDhcXLka,0
276,Nasza klasa ale to DRILL,Młody Matczak,Mata,2021-10-01,223906,59,2IwpIyyFlNYhwLW5ZeHxNe,0
278,Anja,Flagey EP,Taco Hemingway,2018-07-20,189240,44,1EtYc0dLZL0ifEWLWWwAJE,0
279,Si jamais j'oublie - Sur la route Live 2015,Sur la route,Zaz,2015-10-30,208219,56,1KkPVmfNmNND1vm5PhUv5R,0
286,Ballada Ekologiczna,Którędy Wychodzi Się Na Ludzi,Feno,2020-01-10,232269,48,1U1zY3nvxq5JlIANQolMx9,0
287,Dans mon élément,XX5,Georgio,2018-11-23,255676,51,6O03GOrn4Sey7ktrT8jeMa,0
290,Nieśmiertelni,Nieśmiertelni,Sarius,2021-09-17,171356,49,7uQEiKqLg8P3i9cPC9c0pQ,0
294,Gotham,Mantra,Kacper HTA,2020-10-16,279200,52,4aAifBZiL5ieml3ZN1gIK5,0
296,Iluzja,Iluzja,Kacper HTA,2019-05-31,220000,60,0xTHot6ZzZbc8eiabOascN,0
298,Będziemy dziećmi,Zeus. Jest super.,Zeus,2015-10-09,247280,47,4VpZdc76RyUGjohn4SUIjd,0
301,Interpol,WIDMO,PRO8L3M,2019-03-01,197040,54,2VVEyPFbGkDePlMDHxjqhq,0
303,My Funny Valentine,Chet Baker Sings,Chet Baker,1956,141133,62,4l9hml2UCnxoNI3yCdL1BW,0
306,Opowieść o Tobie,C30-C39 EP,PRO8L3M,2016-04-22,277260,43,1Abp3RSKwmuppE2SFkH93Z,0
308,Nie Wiem Jak…,ANTIHYPE 2,Sarius,2021-06-25,280946,33,5G2kPOVJWA7lggyxoL1xcm,0
309,Niedopowiedzenia,Niedopowiedzenia,Czarny HIFI,2012-11-12,273667,1,2nrgOEtV9AZn6oDzbV3uMq,0
