,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
11,0.257,0.0935,75.752,0.0252,0.907,0.183,4,0.547,0,187867,-12.358,0.169,1,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9
12,0.61,0.219,89.927,0.256,0.64,3.25e-05,4,0.638,8,307840,-9.588,0.473,0,audio_features,spotify:track:2TYx5h3sQMNbDvX2ymvlDX
13,0.441,0.362,75.221,0.0248,0.232,0.149,4,0.521,0,511013,-11.176,0.238,0,audio_features,spotify:track:236mI0lz8JdQjlmijARSwY
14,0.721,0.391,97.578,0.0254,0.00348,0.0113,4,0.521,2,328427,-7.699,0.611,1,audio_features,spotify:track:2JhJOPGvtqMpj5RQC8cIYf
15,0.647,0.0604,124.018,0.131,0.608,0.0,4,0.839,2,243547,-7.624,0.44,1,audio_features,spotify:track:6KMvWbvvvD205ZhvXmjxVr
16,0.755,0.5,88.165,0.286,0.413,0.0,4,0.685,9,210307,-4.216,0.477,0,audio_features,spotify:track:3sHjkMe0OK4zI2nD85Oilh
17,0.667,0.258,128.459,0.1,0.342,0.0,4,0.53,4,211385,-7.055,0.135,0,audio_features,spotify:track:1jht5YeGQx0Rg8qgcEbUpz
18,0.447,0.148,122.806,0.0303,0.49,0.012,3,0.453,0,407587,-10.648,0.18,1,audio_features,spotify:track:6WjWaFu6YADsMKqjmZE2g0
19,0.296,0.183,79.273,0.0277,0.531,0.801,4,0.413,8,424000,-13.904,0.144,0,audio_features,spotify:track:0CzeAbfKFnxnWjwo5iYiCG
20,0.759,0.231,179.904,0.0431,0.0555,0.0,4,0.263,0,284496,-7.288,0.429,1,audio_features,spotify:track:3pHpV3pa96s4vuBP7sQq0V
21,0.475,0.0887,175.977,0.363,0.524,0.0,4,0.643,9,201550,-7.964,0.157,1,audio_features,spotify:track:6ipDTIeurrftM88oQh88IZ
22,0.506,0.108,107.134,0.135,0.785,0.0,4,0.652,9,255962,-9.921,0.0748,0,audio_features,spotify:track:652mf6m91sSWCxsnHDwoWR
23,0.326,0.191,79.206,0.0386,0.864,0.0,4,0.399,7,174000,-9.239,0.546,0,audio_features,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e
24,0.309,0.134,127.155,0.0299,0.153,0.22,4,0.479,11,379213,-14.751,0.182,0,audio_features,spotify:track:7Fg4jpwpkdkGCvq1rrXnvx
25,0.591,0.0891,98.51,0.0248,0.0248,0.00275,4,0.45,2,231987,-5.551,0.283,0,audio_features,spotify:track:5CdbSPuZdIKFm5e0TUDJD8
26,0.852,0.0624,117.418,0.0511,0.0119,0.076,4,0.279,7,558933,-7.838,0.438,1,audio_features,spotify:track:4qsAYBCJnu2OkTKUVbbOF1
27,0.909,0.125,173.674,0.0574,0.135,0.0336,4,0.307,9,366136,-7.08,0.443,0,audio_features,spotify:track:3uMmllZo1AfoEnVT4ENCD3
28,0.656,0.0892,139.352,0.0302,0.0105,0.0,4,0.282,8,251867,-6.557,0.242,1,audio_features,spotify:track:0S3gpZzlT9Hb7CCSV2owX7
29,0.14,0.309,67.058,0.0339,0.833,0.00169,4,0.262,8,441560,-20.232,0.149,1,audio_features,spotify:track:7AOwexG6AtkrmI7kdacXvQ
30,0.604,0.105,92.079,0.0278,0.14,0.00129,4,0.642,9,348000,-9.663,0.609,0,audio_features,spotify:track:5VixAoU5wQmTwRkjah256u
31,0.739,0.139,98.091,0.207,0.541,0.0,4,0.664,9,284000,-7.207,0.438,0,audio_features,spotify:track:7eBYMVok43QesT0KnuIkjn
32,0.554,0.112,164.085,0.052,0.547,5.6e-05,4,0.663,7,176347,-6.793,0.279,1,audio_features,spotify:track:1ef8jV2jElVL74JzBKo6K7
