,name,album,artist,release_date,duration,popularity,id
168,N.I.B.,Black Sabbath (2009 Remastered Version),Black Sabbath,1970-02-13,364493,63,62oNfnQqObaqARM0DTibAL
169,Mogliśmy Wszystko (prod. The Returners),Projekt: Jeden z życia moment,Donguralesko,2017-01-01,210080,34,7I3vZmEjqKeeCI3TfisHLQ
170,Jazz,Stowarzyszenie umarłych raperów,Przyłu & VBS,2019-04-12,312115,45,2RtWmKQPU9MfSCnKr5cc2R
171,Prędkość,W drodze po szczęście,O.S.T.R.,2018-02-26,214701,35,5jTMBN2FMQ8WrHPWVeHxJg
172,Behind Blue Eyes,Results May Vary,Limp Bizkit,2003-01-01,269973,73,1MTQHCpraD4S8g5PAFKzoj
173,"Tam gdzie jest nudno, ale gdzie będziemy szczęśliwi",Raj,The Dumplings,2018-09-21,261413,35,6mn3J5bVu0Bt3hPlK7lkqt
174,What's Up?,"Bigger, Better, Faster, More !",4 Non Blondes,1992-01-01,295533,80,0jWgAnTrNZmOGmqgvHhZEm
175,Miss You,Golgotha,W.A.S.P.,2015-10-02,461480,32,30sZ1d4G8K8RVNhz0IWgPN
176,Johnny B.,Super Hits,The Hooters,1985,237466,57,20JrcZW9Djp70GZyFRrAfl
177,Solitude,Master of Reality (2009 Remastered Version),Black Sabbath,1971-07-21,301640,52,0y1eaipbcP50xp6WLgJtuv
178,You Never Can Tell,Pulp Fiction (Music From The Motion Picture),Various Artists,1994-09-27,161453,45,7p6ZGUXjUe0ctAu5RNnghu
179,Moja Gwardia,Moja Gwardia,KęKę,2021-01-20,204360,32,1Qw87N5N9KHKZosT0wy5ug
180,Ukryty w Mieście Krzyk,Muzyka Klasyczna,Pezet,2002-04-05,201600,0,6gRELaYf0hDk1WyZVAW1MX
181,Powiedział mi ktoś,Wszystko co złe,Sarius,2018-08-31,182653,45,0Xe2cPeOZawmqdJRNywx5f
182,Hall of Fame (feat. will.i.am),#3,The Script,2012-09-10,202533,69,1X1DWw2pcNZ8zSub3uhlNz
183,The Nights,The Days / Nights,Avicii,2014-12-01,176658,0,3OwPSJu609AMzotCEyoMiO
